exercise_name,muscle_group,equipment,difficulty,goal_type,reps,sets,training_type,experience_level
Deadlift,Core,Bodyweight,Advanced,Hypertrophy,11-19,2,Lower Body,Beginner
Barbell Row,Full Body,Bodyweight,Beginner,Hypertrophy,12-21,5,Core,Beginner
Mountain Climbers,Full Body,Cable,Beginner,Hypertrophy,12-21,5,Full Body,Beginner
Box Jump,Core,Bodyweight,Advanced,Cardio,8-22,4,Full Body,Advanced
Hammer Curl,Core,Cable,Advanced,Strength,41 sec,2,Full Body,Advanced
Russian Twist,Core,Cable,Beginner,Hypertrophy,15-22,5,Lower Body,Intermediate
Tricep Dip,Shoulders,Kettlebell,Beginner,Hypertrophy,9-25,2,Full Body,Intermediate
Chest Fly,Chest,Kettlebell,Intermediate,Cardio,8-18,5,Lower Body,Beginner
Russian Twist,Legs,Bodyweight,Beginner,Endurance,14-25,5,Lower Body,Intermediate
Calf Raise,Core,Kettlebell,Beginner,Endurance,44 sec,5,Full Body,Intermediate
V-Up,Core,Kettlebell,Intermediate,Endurance,14-23,3,Full Body,Intermediate
Barbell Row,Back,Dumbbell,Beginner,Strength,15-24,5,Lower Body,Beginner
Sit-ups,Back,Cable,Intermediate,Hypertrophy,11-18,5,Core,Beginner
Cable Row,Core,Kettlebell,Intermediate,Cardio,14-20,3,Upper Body,Beginner
Hammer Curl,Full Body,Kettlebell,Beginner,Hypertrophy,15-23,5,Lower Body,Intermediate
Barbell Row,Core,Bodyweight,Advanced,Hypertrophy,15-18,3,Lower Body,Beginner
Toe Touch,Back,Kettlebell,Advanced,Cardio,9-23,4,Core,Advanced
V-Up,Full Body,Machine,Beginner,Strength,13-22,4,Full Body,Advanced
Burpees,Arms,Barbell,Beginner,Cardio,13-16,4,Core,Beginner
Squat,Shoulders,Barbell,Advanced,Hypertrophy,51 sec,4,Lower Body,Advanced
Skater Jumps,Legs,Dumbbell,Advanced,Strength,11-18,2,Lower Body,Intermediate
Chest Dip,Legs,Machine,Intermediate,Endurance,10-18,2,Lower Body,Beginner
Wall Sit,Back,Kettlebell,Intermediate,Strength,13-22,3,Lower Body,Advanced
Bicep Curl,Back,Bodyweight,Advanced,Strength,15-20,3,Upper Body,Intermediate
Farmer's Walk,Chest,Cable,Beginner,Strength,8-18,5,Core,Beginner
High Knees,Shoulders,Cable,Beginner,Endurance,15-20,5,Core,Beginner
Dumbbell Snatch,Shoulders,Cable,Intermediate,Strength,53 sec,5,Upper Body,Advanced
Cable Crossover,Arms,Bodyweight,Beginner,Strength,13-22,4,Full Body,Advanced
Push-up,Core,Bodyweight,Beginner,Cardio,30 sec,3,Full Body,Intermediate
Cable Crossover,Core,Dumbbell,Advanced,Strength,15-19,4,Upper Body,Beginner
Bear Crawl,Shoulders,Bodyweight,Advanced,Strength,14-21,2,Upper Body,Advanced
Jumping Jacks,Full Body,Kettlebell,Beginner,Endurance,41 sec,2,Lower Body,Beginner
